Place ID,Name,Latitude,Longitude,Type,Rating,Reviews,Freguesias
ChIJPZM6aIh0Gg0RLKpTVFWZnmI,RITELLO BEJA ASPIRADOR,38.0131818,-7.860652599999999,"['point_of_interest', 'store', 'establishment']",No rating,0,Beja
ChIJuVKXwIB0Gg0RB6io6E6AMiM,FR Marketing&Publicidade,38.0125028,-7.8677294,"['point_of_interest', 'establishment']",4.8,4,Beja
ChIJ-65fQIZ0Gg0RlcO83ONIRCQ,"Consdep - Engenharia E Construção, S.A.",38.0153039,-7.862730799999998,"['general_contractor', 'point_of_interest', 'establishment']",4,1,Beja
ChIJyTS0IoZ0Gg0R_wY0dfUQVfo,Hospedaria Santa Maria,38.0150247,-7.862354499999999,"['lodging', 'point_of_interest', 'establishment']",3.4,138,Beja
ChIJFy7AaIZ0Gg0RsBmCfO4XNA4,"AgdA - Águas Públicas do Alentejo, S.A.",38.0156758,-7.863223199999999,"['point_of_interest', 'establishment']",5,2,Beja
ChIJu_HNioZ0Gg0RmfNjLKY4dUY,Agência Funerária Nunes,38.01538439999999,-7.864190900000001,"['funeral_home', 'point_of_interest', 'establishment']",4.4,9,Beja
ChIJcdsVrod0Gg0RrX2Rj5dxQeE,MoneyGram,38.0136442,-7.8631405,"['finance', 'point_of_interest', 'establishment']",3,1,Beja
ChIJJYQLlIZ0Gg0RlCnK81s4cA0,IEFP - Centro De Emprego De Beja,38.0156011,-7.8650169,"['point_of_interest', 'establishment']",3.7,38,Beja
ChIJU2t0xYd0Gg0R4c_Sd3nKkVY,Beja Hostel - Arqueologia,38.0135369,-7.8620838,"['lodging', 'point_of_interest', 'establishment']",3.7,286,Beja
ChIJqUw5xod0Gg0RE3FFWpH1-0w,Farmácia Central,38.0134786,-7.8624398,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",4.3,22,Beja
ChIJe4bZ4oZ0Gg0RbLsdZu-GKps,Country Club,38.0141699,-7.864713,"['bar', 'point_of_interest', 'establishment']",3.6,79,Beja
ChIJY3d-uId0Gg0RgUpAa_TCFI8,"EMAS - Empresa Municipal de Água e Saneamento de Beja, E.M",38.0133098,-7.862689599999999,"['point_of_interest', 'establishment']",2.7,32,Beja
